grid_id,centroid_lat,centroid_lon,base_cnt,heat_cnt,heat_ratio,data_quality,func_type
ws07pry,23.0706020000000009,113.179091999999997,99,112,1.13131313131313131,medium,
ws07prz,23.0706020000000009,113.180465999999996,101,98,0.97029702970297030,high,
ws07pup,23.0500030000000002,113.202438000000001,61,61,1.00000000000000000,medium,
ws07pur,23.0513760000000012,113.202438000000001,41,48,1.17073170731707317,medium,
ws07puu,23.0541230000000006,113.198318,30,23,0.76666666666666667,medium,
ws07puv,23.0541230000000006,113.199691999999999,39,31,0.79487179487179487,medium,
ws07puw,23.0527499999999996,113.201065,42,32,0.76190476190476190,medium,
ws07pux,23.0527499999999996,113.202438000000001,50,51,1.02000000000000000,medium,
ws07puy,23.0541230000000006,113.201065,35,45,1.28571428571428571,medium,
ws07puz,23.0541230000000006,113.202438000000001,65,50,0.76923076923076923,medium,
ws07pv3,23.05687,113.194198999999998,42,34,0.80952380952380952,medium,
ws07pv5,23.0554960000000015,113.196944999999999,37,28,0.75675675675675676,medium,
ws07pv6,23.05687,113.195571999999999,79,71,0.89873417721518987,medium,
ws07pv7,23.05687,113.196944999999999,86,82,0.95348837209302326,medium,
ws07pv8,23.0582430000000009,113.192824999999999,40,38,0.95000000000000000,medium,
ws07pv9,23.0582430000000009,113.194198999999998,71,77,1.08450704225352113,medium,
ws07pvb,23.0596159999999983,113.192824999999999,51,56,1.09803921568627451,medium,
ws07pvc,23.0596159999999983,113.194198999999998,100,70,0.70000000000000000,high,
ws07pvd,23.0582430000000009,113.195571999999999,139,117,0.84172661870503597,high,
ws07pve,23.0582430000000009,113.196944999999999,80,85,1.06250000000000000,medium,
ws07pvf,23.0596159999999983,113.195571999999999,75,63,0.84000000000000000,medium,
ws07pvg,23.0596159999999983,113.196944999999999,64,59,0.92187500000000000,medium,
ws07pvh,23.0554960000000015,113.198318,42,36,0.85714285714285714,medium,
ws07pvj,23.0554960000000015,113.199691999999999,47,38,0.80851063829787234,medium,
ws07pvk,23.05687,113.198318,51,45,0.88235294117647059,medium,
ws07pvm,23.05687,113.199691999999999,53,50,0.94339622641509434,medium,
ws07pvn,23.0554960000000015,113.201065,64,69,1.07812500000000000,medium,
ws07pvp,23.0554960000000015,113.202438000000001,84,100,1.19047619047619048,medium,
ws07pvq,23.05687,113.201065,145,131,0.90344827586206897,high,
ws07pvr,23.05687,113.202438000000001,159,149,0.93710691823899371,high,
ws07pvs,23.0582430000000009,113.198318,50,37,0.74000000000000000,medium,
ws07pvt,23.0582430000000009,113.199691999999999,51,62,1.21568627450980392,medium,
ws07pvu,23.0596159999999983,113.198318,50,41,0.82000000000000000,medium,
ws07pvv,23.0596159999999983,113.199691999999999,48,47,0.97916666666666667,medium,
ws07pvw,23.0582430000000009,113.201065,176,155,0.88068181818181818,high,
ws07pvx,23.0582430000000009,113.202438000000001,53,39,0.73584905660377358,medium,
ws07pvy,23.0596159999999983,113.201065,52,54,1.03846153846153846,medium,
ws07pw3,23.0623630000000013,113.183211999999997,36,30,0.83333333333333333,medium,
ws07pw4,23.0609889999999993,113.184585999999996,108,76,0.70370370370370370,high,
ws07pw5,23.0609889999999993,113.185958999999997,47,44,0.93617021276595745,medium,
ws07pw6,23.0623630000000013,113.184585999999996,85,87,1.02352941176470588,medium,
ws07pw7,23.0623630000000013,113.185958999999997,68,54,0.79411764705882353,medium,
ws07pw9,23.0637359999999987,113.183211999999997,36,29,0.80555555555555556,medium,
ws07pwb,23.0651089999999996,113.181838999999997,42,24,0.57142857142857143,medium,
ws07pwc,23.0651089999999996,113.183211999999997,43,37,0.86046511627906977,medium,
ws07pwd,23.0637359999999987,113.184585999999996,65,52,0.80000000000000000,medium,
ws07pwe,23.0637359999999987,113.185958999999997,66,53,0.80303030303030303,medium,
ws07pwf,23.0651089999999996,113.184585999999996,55,49,0.89090909090909091,medium,
ws07pwg,23.0651089999999996,113.185958999999997,64,50,0.78125000000000000,medium,
ws07pws,23.0637359999999987,113.187331999999998,39,34,0.87179487179487179,medium,
ws07pwt,23.0637359999999987,113.188704999999999,38,22,0.57894736842105263,medium,
ws07pwu,23.0651089999999996,113.187331999999998,40,30,0.75000000000000000,medium,
ws07pwv,23.0651089999999996,113.188704999999999,38,36,0.94736842105263158,medium,
